City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
356,zhangye,0,CN,1525277268,47,38.94,100.46,51.18,7.18
357,tezu,48,IN,1525277268,70,27.93,96.16,64.77,1.59
358,neyshabur,0,IR,1525277268,31,36.21,58.79,55.77,10.76
359,kruisfontein,0,ZA,1525277268,81,-34.0,24.73,67.29,18.92
360,deputatskiy,80,RU,1525277269,100,69.3,139.9,36.24,10.2
361,norman wells,90,CA,1525274820,65,65.28,-126.83,41.0,4.7
362,komsomolskiy,0,RU,1525277270,84,67.55,63.78,9.24,6.96
363,nioro,0,GM,1525277271,22,13.79,-15.05,103.65,7.96
364,thompson,75,CA,1525273200,58,55.74,-97.86,41.0,10.29
365,ostrovnoy,0,RU,1525277272,94,68.05,39.51,33.72,7.18
366,hami,36,CN,1525277272,27,42.84,93.51,65.22,7.4
367,encheng,92,CN,1525277272,98,22.74,107.09,71.16,2.37
368,mangrol,32,IN,1525277273,38,25.33,76.51,85.83,5.17
369,tacoronte,75,ES,1525275000,82,28.48,-16.41,64.4,12.75
370,sherlovaya gora,0,RU,1525277273,69,50.53,116.31,34.62,2.82
371,mpwapwa,32,TZ,1525277274,89,-6.35,36.49,68.28,4.72
372,tefe,40,BR,1525273200,78,-3.35,-64.71,82.4,3.36
373,north platte,1,US,1525276380,58,41.12,-100.77,57.2,13.87
374,torbay,75,CA,1525274760,71,47.66,-52.73,51.8,14.99
375,iwanai,92,JP,1525277275,98,42.97,140.51,48.12,8.19
376,tilichiki,48,RU,1525277275,83,60.47,166.1,21.12,3.15
377,kununurra,56,AU,1525275000,83,-15.77,128.74,69.8,3.94
378,bundaberg,20,AU,1525277276,100,-24.87,152.35,73.77,11.65
379,paamiut,36,GL,1525277276,100,61.99,-49.67,24.72,24.4
380,ejea de los caballeros,75,ES,1525275000,39,42.13,-1.14,68.0,14.99
381,bose,75,IT,1525276200,76,45.46,8.01,57.2,3.36
